日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2016年04月,新竹縣,88526444,0.1212,68597216,0.0939,1253525,0.0017,571881232,0.7831,730258417,0.0461
2016年04月,苗栗縣,64516229,0.1141,54373640,0.0961,1614600,0.0029,445052660,0.7869,565557129,0.0357
2016年04月,彰化縣,167673910,0.2074,143649010,0.1777,30541986,0.0378,466437000,0.5771,808301906,0.051
2016年04月,南投縣,71691080,0.3195,50968122,0.2271,7890792,0.0352,93853481,0.4182,224403475,0.0142
2016年04月,雲林縣,92419165,0.2305,59226995,0.1477,24941657,0.0622,224421042,0.5596,401008859,0.0253
2016年04月,嘉義縣,60141971,0.2948,44440495,0.2178,15563392,0.0763,83874879,0.4111,204020737,0.0129
2016年04月,屏東縣,105008391,0.3166,81273512,0.2451,55548383,0.1675,89805019,0.2708,331635305,0.0209
2016年04月,台東縣,29721690,0.416,29168204,0.4083,2346023,0.0328,10210187,0.1429,71446104,0.0045
2016年04月,花蓮縣,48877582,0.2613,53556578,0.2864,2104884,0.0113,82490360,0.4411,187029404,0.0118
2016年04月,基隆市,55964107,0.5018,38725888,0.3472,8019,0.0001,16827089,0.1509,111525103,0.007
2016年04月,新竹市,65857116,0.0822,94657273,0.1181,675762,0.0008,640231272,0.7989,801421423,0.0506
2016年04月,嘉義市,37379862,0.4414,40278590,0.4756,434736,0.0051,6588699,0.0778,84681887,0.0053
2016年04月,澎湖縣,11633174,0.4243,12041609,0.4392,378617,0.0138,3364643,0.1227,27418043,0.0017
2016年04月,金門縣,8082411,0.4068,9497927,0.478,188759,0.0095,2100734,0.1057,19869831,0.0013
2016年04月,連江縣,1729232,0.3985,2231810,0.5144,11695,0.0027,366227,0.0844,4338964,0.0003
2016年04月,合計,3262584029,0.2058,3435059610,0.2167,211097228,0.0133,8942375568,0.5641,15851116435,1
2016年03月,新北市,584256083,0.3971,462727513,0.3145,1560163,0.0011,422854581,0.2874,1471398340,0.0936
2016年03月,台北市,384036308,0.3462,690967798,0.6229,1368482,0.0012,32940032,0.0297,1109312620,0.0705
2016年03月,桃園市,311520432,0.1449,303121212,0.141,2036645,0.0009,1533275303,0.7132,2149953592,0.1367
2016年03月,台中市,403860286,0.2004,440907306,0.2188,11254907,0.0056,1159058791,0.5752,2015081290,0.1281
2016年03月,台南市,257839119,0.1257,219478242,0.107,26460642,0.0129,1548010739,0.7545,2051788742,0.1305
2016年03月,高雄市,408419599,0.1877,396532661,0.1822,19075730,0.0088,1352229114,0.6214,2176257104,0.1384
2016年03月,宜蘭縣,61782811,0.2426,54578727,0.2143,4861118,0.0191,133454198,0.524,254676854,0.0162
2016年03月,新竹縣,78551190,0.1115,61246146,0.0869,1223931,0.0017,563738214,0.7999,704759481,0.0448
2016年03月,苗栗縣,75551822,0.1342,55557299,0.0987,1532701,0.0027,430240081,0.7644,562881903,0.0358
2016年03月,彰化縣,165132711,0.2099,132495750,0.1685,29196639,0.0371,459718215,0.5845,786543315,0.05
2016年03月,南投縣,58545104,0.284,46946089,0.2277,7775331,0.0377,92886764,0.4506,206153288,0.0131
2016年03月,雲林縣,92879448,0.2296,59483032,0.1471,26535040,0.0656,225575861,0.5577,404473381,0.0257
2016年03月,嘉義縣,65959206,0.3353,41199234,0.2094,16821831,0.0855,72740595,0.3698,196720866,0.0125
2016年03月,屏東縣,113927080,0.3361,78194400,0.2307,57124231,0.1685,89730320,0.2647,338976031,0.0216
2016年03月,台東縣,26638713,0.4,27426799,0.4118,2407244,0.0361,10129880,0.1521,66602636,0.0042
2016年03月,花蓮縣,42760350,0.2359,51573697,0.2845,2145550,0.0118,84804325,0.4678,181283922,0.0115
2016年03月,基隆市,47780072,0.4652,37902147,0.369,7454,0.0001,17017527,0.1657,102707200,0.0065
2016年03月,新竹市,72305359,0.0897,90451914,0.1122,590293,0.0007,643149601,0.7975,806497167,0.0513
2016年03月,嘉義市,37121352,0.449,38527578,0.466,433077,0.0052,6602358,0.0799,82684365,0.0053
2016年03月,澎湖縣,13276723,0.4453,12807677,0.4296,346005,0.0116,3385734,0.1136,29816139,0.0019
2016年03月,金門縣,9321469,0.4353,9891952,0.4619,201667,0.0094,2000969,0.0934,21416057,0.0014
2016年03月,連江縣,2398545,0.4417,2561330,0.4716,15433,0.0028,455298,0.0838,5430606,0.0003
2016年03月,合計,3313863782,0.2107,3314578503,0.2108,212974114,0.0135,8883998500,0.5649,15725414899,1
2016年02月,新北市,538570714,0.4208,400052761,0.3125,1424480,0.0011,339951336,0.2656,1279999291,0.0945
2016年02月,台北市,345669833,0.3575,591219328,0.6114,1199238,0.0012,28841640,0.0298,966930039,0.0714
2016年02月,桃園市,338506417,0.182,276306465,0.1485,1963518,0.0011,1243514891,0.6685,1860291291,0.1374
2016年02月,台中市,375418671,0.2176,390873591,0.2266,10364161,0.006,948669660,0.5498,1725326083,0.1274
2016年02月,台南市,246328255,0.1423,198956642,0.1149,24420658,0.0141,1261936316,0.7288,1731641871,0.1279
2016年02月,高雄市,308329421,0.1692,350591331,0.1924,16898361,0.0093,1146531032,0.6291,1822350145,0.1346
2016年02月,宜蘭縣,59925856,0.2767,46896349,0.2165,3964428,0.0183,105792930,0.4885,216579563,0.016
2016年02月,新竹縣,80829476,0.1266,60421470,0.0946,1034008,0.0016,496126667,0.7771,638411621,0.0471
2016年02月,苗栗縣,59569974,0.1237,48626291,0.101,1370526,0.0028,371832941,0.7724,481399732,0.0356
2016年02月,彰化縣,154411560,0.2326,127669327,0.1923,27167736,0.0409,354566922,0.5341,663815545,0.049
