日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2016年02月,南投縣,66266309,0.3529,44896233,0.2391,6550286,0.0349,70062570,0.3731,187775398,0.0139
2016年02月,雲林縣,81091214,0.2339,51196249,0.1476,23709381,0.0684,190766908,0.5501,346763752,0.0256
2016年02月,嘉義縣,55123723,0.3414,36762663,0.2277,14609951,0.0905,54980735,0.3405,161477072,0.0119
2016年02月,屏東縣,98187409,0.3422,68716314,0.2395,51518754,0.1796,68507996,0.2388,286930473,0.0212
2016年02月,台東縣,27944209,0.4448,24718465,0.3934,2167682,0.0345,7995248,0.1273,62825604,0.0046
2016年02月,花蓮縣,45566308,0.269,45244453,0.2671,1921631,0.0113,76645823,0.4525,169378215,0.0125
2016年02月,基隆市,51893036,0.5228,33568335,0.3382,7025,0.0001,13797228,0.139,99265624,0.0073
2016年02月,新竹市,61529037,0.0855,76141522,0.1058,570455,0.0008,581465971,0.8079,719706985,0.0531
2016年02月,嘉義市,34728372,0.4694,33595700,0.4541,450059,0.0061,5211418,0.0704,73985549,0.0055
2016年02月,澎湖縣,10491206,0.4345,10316837,0.4273,319021,0.0132,3016080,0.1249,24143144,0.0018
2016年02月,金門縣,7569588,0.433,8081044,0.4623,172343,0.0099,1658982,0.0949,17481957,0.0013
2016年02月,連江縣,1764007,0.3767,2459486,0.5252,16247,0.0035,443644,0.0947,4683384,0.0003
2016年02月,合計,3049714595,0.2252,2927310856,0.2162,191819949,0.0142,7372316938,0.5444,13541162338,1
2016年01月,新北市,540526631,0.3756,493533884,0.3429,1679927,0.0012,403472508,0.2803,1439212950,0.0936
2016年01月,台北市,360765814,0.3254,713562754,0.6435,1383129,0.0012,33131040,0.0299,1108842737,0.0721
2016年01月,桃園市,277353087,0.1334,316047777,0.152,2177982,0.001,1483364415,0.7135,2078943261,0.1352
2016年01月,台中市,380614970,0.1928,465608225,0.2359,11932660,0.006,1115879746,0.5653,1974035601,0.1283
2016年01月,台南市,248579986,0.1249,226744138,0.1139,27581718,0.0139,1487836129,0.7474,1990741971,0.1294
2016年01月,高雄市,414615754,0.1938,402452147,0.1882,19383739,0.0091,1302511416,0.6089,2138963056,0.1391
2016年01月,宜蘭縣,57517473,0.2271,56006325,0.2212,4341753,0.0171,135364306,0.5346,253229857,0.0165
2016年01月,新竹縣,68535413,0.0997,63999203,0.0931,1157780,0.0017,553488357,0.8054,687180753,0.0447
2016年01月,苗栗縣,68742495,0.1229,58694166,0.105,1580625,0.0028,430170308,0.7693,559187594,0.0364
2016年01月,彰化縣,151432577,0.1985,139978019,0.1835,30463550,0.0399,440890264,0.578,762764410,0.0496
2016年01月,南投縣,54411432,0.2756,47589753,0.2411,7854383,0.0398,87551201,0.4435,197406769,0.0128
2016年01月,雲林縣,85397006,0.2163,62569495,0.1585,24489117,0.062,222261909,0.5631,394717527,0.0257
2016年01月,嘉義縣,61012850,0.3194,43496193,0.2277,15721688,0.0823,70818078,0.3707,191048809,0.0124
2016年01月,屏東縣,114210920,0.3397,79597828,0.2367,56722139,0.1687,85717489,0.2549,336248376,0.0219
2016年01月,台東縣,25804334,0.391,27523499,0.417,2399328,0.0364,10273363,0.1557,66000524,0.0043
2016年01月,花蓮縣,41360028,0.2287,52272759,0.289,2086817,0.0115,85145655,0.4708,180865259,0.0118
2016年01月,基隆市,43786770,0.4385,38798149,0.3885,7507,0.0001,17266162,0.1729,99858588,0.0065
2016年01月,新竹市,65474909,0.0834,89741806,0.1144,604674,0.0008,628960999,0.8014,784782388,0.051
2016年01月,嘉義市,35132162,0.4269,40187505,0.4883,436888,0.0053,6547267,0.0795,82303822,0.0054
2016年01月,澎湖縣,12398263,0.4178,13503988,0.455,357898,0.0121,3417745,0.1152,29677894,0.0019
2016年01月,金門縣,8320068,0.4042,10046944,0.4881,199869,0.0097,2015170,0.0979,20582051,0.0013
2016年01月,連江縣,1995495,0.405,2477981,0.5029,15884,0.0032,437623,0.0888,4926983,0.0003
2016年01月,合計,3117988437,0.2027,3444432538,0.2239,212579055,0.0138,8606521150,0.5595,15381521180,1
