22:10,46.6,1037.3,893.9,1093.8
22:20,46.9,1034.5,887.1,1073.7
22:30,46.2,1016.5,888.8,1069.9
22:40,46.4,1026.7,885.0,1070.2
22:50,46.3,1006.6,880.9,1049.3
23,46.3,1007.4,885.5,1057.9
23:10,44.6,1005.0,870.3,1037.4
23:20,45.6,1003.3,874.3,1038.4
23:30,44.5,999.7,862.7,1026.1
23:40,43.3,978.2,862.3,1012.6
23:50,43.0,977.7,852.7,999.6
