,Date,Ta
0,2021-11-01 00:00,3.5126999999999997
1,2021-11-01 01:00,3.5126999999999997
2,2021-11-01 02:00,3.5126999999999997
3,2021-11-01 03:00,3.3826
4,2021-11-01 04:00,3.3826
5,2021-11-01 05:00,3.3826
6,2021-11-01 06:00,3.2525
7,2021-11-01 07:00,3.2525
8,2021-11-01 08:00,3.2525
9,2021-11-01 09:00,3.1224
10,2021-11-01 10:00,3.1224
11,2021-11-01 11:00,3.1224
12,2021-11-01 12:00,3.1224
13,2021-11-01 13:00,3.1224
14,2021-11-01 14:00,3.1224
15,2021-11-01 15:00,3.1224
16,2021-11-01 16:00,3.1224
17,2021-11-01 17:00,3.1224
18,2021-11-01 18:00,3.1224
19,2021-11-01 19:00,3.1224
20,2021-11-01 20:00,3.1224
21,2021-11-01 21:00,3.3826
22,2021-11-01 22:00,3.3826
23,2021-11-01 23:00,3.3826
