,Date,Ta
0,2021-11-01 00:00,4.16
1,2021-11-01 01:00,4.16
2,2021-11-01 02:00,4.16
3,2021-11-01 03:00,4.03
4,2021-11-01 04:00,4.03
5,2021-11-01 05:00,4.03
6,2021-11-01 06:00,3.38
7,2021-11-01 07:00,3.38
8,2021-11-01 08:00,3.38
9,2021-11-01 09:00,3.25
10,2021-11-01 10:00,3.25
11,2021-11-01 11:00,3.25
12,2021-11-01 12:00,3.12
13,2021-11-01 13:00,3.12
14,2021-11-01 14:00,3.12
15,2021-11-01 15:00,3.12
16,2021-11-01 16:00,3.12
17,2021-11-01 17:00,3.12
18,2021-11-01 18:00,2.99
19,2021-11-01 19:00,2.99
20,2021-11-01 20:00,2.99
21,2021-11-01 21:00,3.64
22,2021-11-01 22:00,3.64
23,2021-11-01 23:00,3.64
