,Date,Ta
0,2021-10-04 00:00,0.2184
1,2021-10-04 01:00,0.2184
2,2021-10-04 02:00,0.2184
3,2021-10-04 03:00,0.2128
4,2021-10-04 04:00,0.2128
5,2021-10-04 05:00,0.2128
6,2021-10-04 06:00,0.196
7,2021-10-04 07:00,0.196
8,2021-10-04 08:00,0.196
9,2021-10-04 09:00,0.196
10,2021-10-04 10:00,0.196
11,2021-10-04 11:00,0.196
12,2021-10-04 12:00,0.1848
13,2021-10-04 13:00,0.1848
14,2021-10-04 14:00,0.1848
15,2021-10-04 15:00,0.1792
16,2021-10-04 16:00,0.1792
17,2021-10-04 17:00,0.1792
18,2021-10-04 18:00,0.1736
19,2021-10-04 19:00,0.1736
20,2021-10-04 20:00,0.1736
21,2021-10-04 21:00,0.19039999999999999
22,2021-10-04 22:00,0.19039999999999999
23,2021-10-04 23:00,0.19039999999999999
