,date,load,bodyComfort,lastWeek
0,2021_06_19 00:00,31181.0,27.6392409842124,27.6392409842124
1,2021_06_19 00:10,30815.0,27.6392409842124,27.6392409842124
2,2021_06_19 00:20,30768.0,27.6392409842124,27.6392409842124
3,2021_06_19 00:30,30415.0,27.6392409842124,27.6392409842124
4,2021_06_19 00:40,30209.0,27.6392409842124,27.6392409842124
5,2021_06_19 00:50,30147.0,27.6392409842124,27.6392409842124
6,2021_06_19 01:00,30008.0,27.26942657067407,27.26942657067407
7,2021_06_19 01:10,29740.0,27.26942657067407,27.26942657067407
8,2021_06_19 01:20,29587.0,27.26942657067407,27.26942657067407
9,2021_06_19 01:30,29344.0,27.26942657067407,27.26942657067407
10,2021_06_19 01:40,29070.0,27.26942657067407,27.26942657067407
11,2021_06_19 01:50,28968.0,27.26942657067407,27.26942657067407
12,2021_06_19 02:00,28894.0,26.936969716962924,27.26942657067407
13,2021_06_19 02:10,28749.0,26.936969716962924,27.26942657067407
14,2021_06_19 02:20,28479.0,26.936969716962924,27.26942657067407
15,2021_06_19 02:30,28427.0,26.936969716962924,27.26942657067407
16,2021_06_19 02:40,28348.0,26.936969716962924,27.26942657067407
17,2021_06_19 02:50,28146.0,26.936969716962924,27.26942657067407
18,2021_06_19 03:00,28097.0,26.88769591776809,27.26942657067407
19,2021_06_19 03:10,27750.0,26.88769591776809,27.26942657067407
20,2021_06_19 03:20,27771.0,26.88769591776809,27.26942657067407
21,2021_06_19 03:30,27530.0,26.88769591776809,27.26942657067407
22,2021_06_19 03:40,27310.0,26.88769591776809,27.26942657067407
23,2021_06_19 03:50,27178.0,26.88769591776809,27.26942657067407
24,2021_06_19 04:00,27102.0,26.61160499921161,27.26942657067407
25,2021_06_19 04:10,27267.0,26.61160499921161,27.26942657067407
26,2021_06_19 04:20,27219.0,26.61160499921161,27.26942657067407
27,2021_06_19 04:30,27042.0,26.61160499921161,27.26942657067407
28,2021_06_19 04:40,26789.0,26.61160499921161,27.26942657067407
29,2021_06_19 04:50,26543.0,26.61160499921161,27.26942657067407
30,2021_06_19 05:00,26612.0,26.81179829096404,27.26942657067407
31,2021_06_19 05:10,26608.0,26.81179829096404,27.26942657067407
32,2021_06_19 05:20,26506.0,26.81179829096404,27.26942657067407
33,2021_06_19 05:30,26320.0,26.81179829096404,27.26942657067407
34,2021_06_19 05:40,26036.0,26.81179829096404,27.26942657067407
35,2021_06_19 05:50,26351.0,26.81179829096404,27.26942657067407
36,2021_06_19 06:00,26156.0,27.535656576761962,27.26942657067407
37,2021_06_19 06:10,26267.0,27.535656576761962,27.26942657067407
38,2021_06_19 06:20,26182.0,27.535656576761962,27.26942657067407
39,2021_06_19 06:30,26138.0,27.535656576761962,27.26942657067407
40,2021_06_19 06:40,26349.0,27.535656576761962,27.26942657067407
41,2021_06_19 06:50,26399.0,27.535656576761962,27.26942657067407
42,2021_06_19 07:00,26336.0,28.039250686400532,27.26942657067407
43,2021_06_19 07:10,26491.0,28.039250686400532,27.26942657067407
44,2021_06_19 07:20,26711.0,28.039250686400532,27.26942657067407
45,2021_06_19 07:30,26797.0,28.039250686400532,27.26942657067407
46,2021_06_19 07:40,26889.0,28.039250686400532,27.26942657067407
47,2021_06_19 07:50,27222.0,28.039250686400532,27.26942657067407
48,2021_06_19 08:00,27972.0,28.345423990158448,27.26942657067407
49,2021_06_19 08:10,28344.0,28.345423990158448,27.26942657067407
50,2021_06_19 08:20,28612.0,28.345423990158448,27.26942657067407
51,2021_06_19 08:30,28974.0,28.345423990158448,27.26942657067407
52,2021_06_19 08:40,29172.0,28.345423990158448,27.26942657067407
53,2021_06_19 08:50,29421.0,28.345423990158448,27.26942657067407
54,2021_06_19 09:00,29670.0,28.477889714069786,27.26942657067407
55,2021_06_19 09:10,30001.0,28.477889714069786,27.26942657067407
56,2021_06_19 09:20,29803.0,28.477889714069786,27.26942657067407
57,2021_06_19 09:30,29992.0,28.477889714069786,27.26942657067407
58,2021_06_19 09:40,30329.0,28.477889714069786,27.26942657067407
59,2021_06_19 09:50,30479.0,28.477889714069786,27.26942657067407
60,2021_06_19 10:00,30418.0,28.435962658843323,27.26942657067407
61,2021_06_19 10:10,30699.0,28.435962658843323,27.26942657067407
62,2021_06_19 10:20,30928.0,28.435962658843323,27.26942657067407
63,2021_06_19 10:30,31232.0,28.435962658843323,27.26942657067407
64,2021_06_19 10:40,31423.0,28.435962658843323,27.26942657067407
65,2021_06_19 10:50,31685.0,28.435962658843323,27.26942657067407
66,2021_06_19 11:00,31693.0,29.55676916267825,27.26942657067407
67,2021_06_19 11:10,31888.0,29.55676916267825,27.26942657067407
68,2021_06_19 11:20,32212.0,29.55676916267825,27.26942657067407
69,2021_06_19 11:30,32123.0,29.55676916267825,27.26942657067407
70,2021_06_19 11:40,32300.0,29.55676916267825,27.26942657067407
71,2021_06_19 11:50,32429.0,29.55676916267825,27.26942657067407
72,2021_06_19 12:00,32124.0,29.901397961016823,27.26942657067407
73,2021_06_19 12:10,31817.0,29.901397961016823,27.26942657067407
74,2021_06_19 12:20,32089.0,29.901397961016823,27.26942657067407
75,2021_06_19 12:30,32212.0,29.901397961016823,27.26942657067407
76,2021_06_19 12:40,32070.0,29.901397961016823,27.26942657067407
77,2021_06_19 12:50,32563.0,29.901397961016823,27.26942657067407
78,2021_06_19 13:00,32835.0,30.35207094554822,27.26942657067407
79,2021_06_19 13:10,33215.0,30.35207094554822,27.26942657067407
80,2021_06_19 13:20,33455.0,30.35207094554822,27.26942657067407
