,Date,Ta
0,2021-11-07 00:00,3.005
1,2021-11-07 01:00,3.005
2,2021-11-07 02:00,3.005
3,2021-11-07 03:00,2.8848000000000003
4,2021-11-07 04:00,2.8848000000000003
5,2021-11-07 05:00,2.8848000000000003
6,2021-11-07 06:00,2.6444
7,2021-11-07 07:00,2.6444
8,2021-11-07 08:00,2.6444
9,2021-11-07 09:00,2.6444
10,2021-11-07 10:00,2.6444
11,2021-11-07 11:00,2.6444
12,2021-11-07 12:00,2.7646
13,2021-11-07 13:00,2.7646
14,2021-11-07 14:00,2.7646
15,2021-11-07 15:00,2.6444
16,2021-11-07 16:00,2.6444
17,2021-11-07 17:00,2.6444
18,2021-11-07 18:00,2.404
19,2021-11-07 19:00,2.404
20,2021-11-07 20:00,2.404
21,2021-11-07 21:00,2.404
22,2021-11-07 22:00,2.404
23,2021-11-07 23:00,2.404
