,Date,Ta
0,2021-09-23 00:00,5.6784
1,2021-09-23 01:00,5.6784
2,2021-09-23 02:00,5.6784
3,2021-09-23 03:00,5.5328
4,2021-09-23 04:00,5.5328
5,2021-09-23 05:00,5.5328
6,2021-09-23 06:00,5.096
7,2021-09-23 07:00,5.096
8,2021-09-23 08:00,5.096
9,2021-09-23 09:00,4.9504
10,2021-09-23 10:00,4.9504
11,2021-09-23 11:00,4.9504
12,2021-09-23 12:00,4.6592
13,2021-09-23 13:00,4.6592
14,2021-09-23 14:00,4.6592
15,2021-09-23 15:00,4.6592
16,2021-09-23 16:00,4.6592
17,2021-09-23 17:00,4.6592
18,2021-09-23 18:00,4.5136
19,2021-09-23 19:00,4.5136
20,2021-09-23 20:00,4.5136
21,2021-09-23 21:00,5.096
22,2021-09-23 22:00,5.096
23,2021-09-23 23:00,5.096
