,Date,Ta
0,2021-10-11 00:00,1.78
1,2021-10-11 01:00,1.78
2,2021-10-11 02:00,1.78
3,2021-10-11 03:00,1.78
4,2021-10-11 04:00,1.78
5,2021-10-11 05:00,1.78
6,2021-10-11 06:00,1.78
7,2021-10-11 07:00,1.78
8,2021-10-11 08:00,1.78
9,2021-10-11 09:00,1.7088
10,2021-10-11 10:00,1.7088
11,2021-10-11 11:00,1.7088
12,2021-10-11 12:00,1.6376
13,2021-10-11 13:00,1.6376
14,2021-10-11 14:00,1.6376
15,2021-10-11 15:00,1.8512
16,2021-10-11 16:00,1.8512
17,2021-10-11 17:00,1.8512
18,2021-10-11 18:00,1.9223999999999999
19,2021-10-11 19:00,1.9223999999999999
20,2021-10-11 20:00,1.9223999999999999
21,2021-10-11 21:00,1.8512
22,2021-10-11 22:00,1.8512
23,2021-10-11 23:00,1.8512
