,Date,Ta
0,2021-10-05 00:00,1.3253
1,2021-10-05 01:00,1.3253
2,2021-10-05 02:00,1.3253
3,2021-10-05 03:00,1.2339
4,2021-10-05 04:00,1.2339
5,2021-10-05 05:00,1.2339
6,2021-10-05 06:00,1.1882
7,2021-10-05 07:00,1.1882
8,2021-10-05 08:00,1.1882
9,2021-10-05 09:00,1.1882
10,2021-10-05 10:00,1.1882
11,2021-10-05 11:00,1.1882
12,2021-10-05 12:00,1.1882
13,2021-10-05 13:00,1.1882
14,2021-10-05 14:00,1.1882
15,2021-10-05 15:00,1.4624
16,2021-10-05 16:00,1.4624
17,2021-10-05 17:00,1.4624
18,2021-10-05 18:00,1.5537999999999998
19,2021-10-05 19:00,1.5537999999999998
20,2021-10-05 20:00,1.5537999999999998
21,2021-10-05 21:00,1.4166999999999998
22,2021-10-05 22:00,1.4166999999999998
23,2021-10-05 23:00,1.4166999999999998
